"","SRR9137553_GSM3823667_CON_1_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137554_GSM3823668_CON_2_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137555_GSM3823669_CON_3_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137556_GSM3823670_CON_4_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137557_GSM3823671_CON_5_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137558_GSM3823672_CON_6_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137559_GSM3823673_CON_7_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137560_GSM3823674_CON_8_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137565_GSM3823679_RIL_1_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137566_GSM3823680_RIL_2_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137567_GSM3823681_RIL_3_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137568_GSM3823682_RIL_4_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM"
"ENSMUSG00000026482",16,19,13,29,15,13,20,19,23,16,21,22
"ENSMUSG00000086145",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000080950",1,0,1,1,2,0,0,1,2,0,0,0
"ENSMUSG00000099868",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000055547",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000012187",1,1,0,1,0,1,1,2,1,1,0,2
"ENSMUSG00000008475",298,536,1056,826,765,465,831,596,486,324,605,493
"ENSMUSG00000099364",0,0,3,0,0,0,0,0,0,0,1,1
"ENSMUSG00000100562",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000056870",0,0,1,1,1,2,1,0,0,0,3,0
"ENSMUSG00000102319",0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000089877",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101701",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000103071",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100434",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100013",0,0,1,1,0,0,0,0,0,0,0,0
"ENSMUSG00000101251",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101937",0,0,1,1,0,0,0,0,0,0,0,0
"ENSMUSG00000039630",814,1016,2210,1340,1234,825,1237,1032,694,519,1119,747
"ENSMUSG00000104279",0,4,6,3,2,2,4,7,2,1,1,4
"ENSMUSG00002075531",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000064954",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026495",5,12,16,15,12,19,17,8,11,6,10,6
"ENSMUSG00000032883",31,47,125,69,61,41,62,69,65,58,43,47
"ENSMUSG00000026480",2,5,7,3,5,3,10,2,0,2,8,5
"ENSMUSG00000026494",0,2,0,1,0,3,0,0,0,1,1,1
"ENSMUSG00000064967",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102922",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025915",11,19,38,26,34,20,43,40,30,19,32,25
"ENSMUSG00000089713",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079470",14,33,87,64,53,31,55,76,32,21,35,35
"ENSMUSG00000099377",1,2,2,2,2,1,1,3,1,1,0,1
